Klasse/Kurs;Stunde;verlegt nach;Fach;Lehrer neu;Lehrer alt;Vertretung;Raum;neuer Raum;Informationen;;
10 b;Dienstag - 3. Std;;GES; ;BUR;BEN;A 1;;;;
10 b;Dienstag - 4. Std;;GES; ;BUR;BEN;A 1;;;;
;;;;;;;;;;;
13 d;Dienstag - 3. Std;;ENG; ;PL; ;Phy 2;;AA PL;;
13 d;Dienstag - 4. Std;;ENG; ;PL; ;Phy 2;;AA PL;;
;;;;;;;;;;;
